movie,title,genres,year,Rating,RottenTomato
2848,"Othello (Tragedy of Othello: The Moor of Venice, The)",Drama,1952,10,100
3314,"Big Trees, The",Action|Drama,1951,10,85
3417,"Crimson Pirate, The",Adventure|Comedy,1952,10,91
7705,Pat and Mike,Comedy|Romance,1951,10,52
56015,Kansas City Confidential,Crime|Drama|Film-Noir|Mystery,1952,10,69
3404,Titanic,Action|Drama,1953,10,99
3930,"Creature from the Black Lagoon, The",Adventure|Horror|Sci-Fi,1954,10,73
4420,"Barefoot Contessa, The",Drama,1953,10,93
6426,"Far Country, The",Western,1954,10,89
8410,Suddenly,Crime|Drama|Film-Noir,1953,10,62
8920,"Country Girl, The",Drama,1954,10,77
4324,"Kentuckian, The",Drama|Western,1954,10,51
6981,"Ordet (Word, The)",Drama,1955,10,92
8447,This Island Earth,Sci-Fi,1954,10,52
8451,Blackboard Jungle,Drama,1955,10,66
47721,"Red Balloon, The (Ballon rouge, Le)",Children|Fantasy,1955,10,62
62049,1984,Drama|Sci-Fi,1956,10,73
937,Love in the Afternoon,Comedy|Romance,1957,10,62
1250,"Bridge on the River Kwai, The",Adventure|Drama|War,1957,10,52
3640,"King in New York, A",Comedy|Drama,1956,10,66
5147,Wild Strawberries (Smultronstället),Drama,1956,10,97
8657,"Tin Star, The",Western,1957,10,51
854,"Ballad of Narayama, The (Narayama Bushiko)",Drama,1958,10,78
4798,Indiscreet,Comedy|Romance,1958,10,70
910,Some Like It Hot,Comedy|Crime,1959,10,93
2043,Darby O'Gill and the Little People,Adventure|Children|Fantasy,1958,10,55
2731,"400 Blows, The (Les quatre cents coups)",Crime|Drama,1958,10,52
3933,"Killer Shrews, The",Horror|Sci-Fi,1959,10,91
5383,"Hound of the Baskervilles, The",Crime|Horror|Mystery,1958,10,100
7088,Black Orpheus (Orfeu Negro),Drama|Romance,1959,10,71
1017,Swiss Family Robinson,Adventure|Children,1960,10,51
1219,Psycho,Crime|Horror,1959,10,85
5799,Exodus,Drama|Romance|War,1960,10,83
2015,"Absent-Minded Professor, The",Children|Comedy|Fantasy,1961,10,96
2782,Pit and the Pendulum,Horror,1960,10,58
3468,"Hustler, The",Drama,1961,10,94
6579,"One, Two, Three",Comedy,1961,10,94
60990,"End of Summer, The (Early Autumn) (Kohayagawa-ke no aki)",Drama,1961,10,55
1204,Lawrence of Arabia,Adventure|Drama|War,1961,10,72
2056,In Search of the Castaways,Adventure|Children,1962,10,61
2905,Sanjuro (Tsubaki Sanjûrô),Action|Adventure|Drama,1962,10,64
2949,Dr. No,Action|Adventure|Thriller,1962,10,52
5398,Requiem for a Heavyweight,Drama,1961,10,94
26093,"Wonderful World of the Brothers Grimm, The",Adventure|Animation|Children|Comedy|Drama|Fantasy|Musical|Romance,1962,10,80
2550,"Haunting, The",Horror|Thriller,1962,10,74
2554,Children of the Damned,Horror|Sci-Fi|Thriller,1963,10,59
2780,"Raven, The",Comedy|Horror,1963,10,67
3467,Hud,Drama|Western,1962,10,74
4187,Lilies of the Field,Drama,1962,10,85
4799,"It's a Mad, Mad, Mad, Mad World",Action|Adventure|Comedy|Crime,1962,10,74
8903,"Terror, The",Horror|Mystery,1963,10,52
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama|Musical|Romance,1963,10,71
914,My Fair Lady,Comedy|Drama|Musical|Romance,1963,10,90
5899,Zulu,Action|Drama|War,1963,10,67
7085,Send Me No Flowers,Comedy|Romance,1964,10,100
26111,Becket,Drama,1964,10,94
42783,Shadows of Our Forgotten Ancestors (Tini zabutykh predkiv),Drama|Romance,1963,10,97
83829,Scorpio Rising,(no genres listed),1964,10,89
1035,"Sound of Music, The",Musical|Romance,1965,10,89
3681,For a Few Dollars More (Per qualche dollaro in più),Action|Drama|Thriller|Western,1965,10,63
6422,Shenandoah,Drama|War|Western,1965,10,75
6305,Fahrenheit 451,Drama|Sci-Fi,1966,10,82
8525,"Ugly Dachshund, The",Children|Comedy,1965,10,65
1084,Bonnie and Clyde,Crime|Drama,1966,10,73
5796,Casino Royale,Action|Adventure|Comedy,1966,10,88
7946,Reflections in a Golden Eye,Drama,1966,10,87
26171,Play Time (a.k.a. Playtime),Comedy,1967,10,85
110752,Mondo Hollywood,Documentary,1966,10,66
2160,Rosemary's Baby,Drama|Horror|Thriller,1967,10,53
2300,"Producers, The",Comedy,1968,10,77
26164,Fando and Lis (Fando y Lis),Adventure|Fantasy,1967,10,68
5000,Medium Cool,Drama|Romance,1969,10,63
6245,Sweet Charity,Comedy|Drama|Musical|Romance,1968,10,96
7110,Blind Beast (Môjuu),Drama|Thriller,1968,10,90
8725,"Goodbye, Columbus",Comedy|Drama|Romance,1969,10,92
59834,100 Rifles,Adventure|War|Western,1969,10,66
2925,"Conformist, The (Conformista, Il)",Drama,1969,10,62
3066,Tora! Tora! Tora!,Action|Drama|War,1970,10,78
3622,"Twelve Chairs, The",Comedy,1970,10,76
4349,Catch-22,Comedy|War,1970,10,91
4972,"Owl and the Pussycat, The",Comedy,1969,10,81
6428,Two Mules for Sister Sara,Comedy|War|Western,1970,10,95
26231,Performance,Crime|Drama|Thriller,1969,10,57
26258,"Topo, El",Fantasy|Western,1970,10,81
52528,Tristana,Drama,1970,10,64
4195,"Abominable Dr. Phibes, The",Horror|Mystery,1970,10,56
4803,Play Misty for Me,Drama|Thriller,1971,10,96
7894,"Duck, You Sucker",Action|Western,1971,10,84
152844,Demons,Horror,1970,10,94
2871,Deliverance,Adventure|Drama|Thriller,1971,10,64
3490,Horror Express,Horror,1972,10,52
7008,Last Tango in Paris (Ultimo tango a Parigi),Drama|Romance,1972,10,58
7084,"Play It Again, Sam",Comedy|Romance,1971,10,91
62801,Lone Wolf and Cub: Baby Cart to Hades (Kozure Ôkami: Shinikazeni mukau ubaguruma),Action|Drama,1972,10,55
2921,High Plains Drifter,Western,1972,10,67
3733,"Paper Chase, The",Drama,1972,10,97
4754,"Wicker Man, The",Drama|Horror|Mystery|Thriller,1972,10,63
6724,Paper Moon,Comedy|Crime|Drama,1973,10,57
7396,Scenes From a Marriage (Scener ur ett äktenskap),Drama,1973,10,73
7889,Pat Garrett and Billy the Kid,Western,1973,10,90
26294,My Name Is Nobody (Il Mio nome è Nessuno),Comedy|Western,1973,10,83
26320,Flesh for Frankenstein (a.k.a. Andy Warhol's Frankenstein),Drama|Horror|Sci-Fi,1972,10,85
32632,Electra Glide in Blue,Action|Crime,1972,10,85
6408,Animals are Beautiful People,Comedy|Documentary,1974,10,86
7817,Zardoz,Fantasy|Sci-Fi,1973,10,80
1136,Monty Python and the Holy Grail,Adventure|Comedy|Fantasy,1974,10,75
3362,Dog Day Afternoon,Crime|Drama,1975,10,63
92756,Hearts of the West,Comedy|Western,1975,10,53
2238,Seven Beauties (Pasqualino Settebellezze),Comedy|Drama,1975,10,87
3371,Bound for Glory,Drama,1975,10,84
6410,Car Wash,Comedy,1975,10,61
47152,Cria Cuervos,Drama,1976,10,80
1998,Exorcist II: The Heretic,Horror,1976,10,95
2051,Herbie Goes to Monte Carlo,Adventure|Children|Comedy,1977,10,82
2523,Rollercoaster,Drama|Thriller,1977,10,54
4437,Suspiria,Horror,1977,10,76
4810,I Never Promised You a Rose Garden,Drama,1976,10,88
7492,Martin,Drama|Horror,1976,10,53
8261,3 Women (Three Women),Drama,1977,10,67
71180,Padre padrone,Drama,1976,10,82
1388,Jaws 2,Horror|Thriller,1978,10,94
2091,Return from Witch Mountain,Children|Sci-Fi,1978,10,91
2138,Watership Down,Adventure|Animation|Children|Drama|Fantasy,1978,10,53
3304,Blue Collar,Crime|Drama,1978,10,85
26404,In Praise of Older Women,Drama,1978,10,63
2034,"Black Hole, The",Children|Sci-Fi,1979,10,83
3506,North Dallas Forty,Comedy|Drama,1979,10,95
3638,Moonraker,Action|Adventure|Sci-Fi|Thriller,1978,10,63
6735,"Rose, The",Drama,1979,10,60
7698,"China Syndrome, The",Drama|Thriller,1978,10,57
55757,Chilly Scenes of Winter (Head Over Heels),Comedy|Drama|Romance,1979,10,83
1196,Star Wars: Episode V - The Empire Strikes Back,Action|Adventure|Sci-Fi,1980,10,63
3091,Kagemusha,Drama|War,1979,10,83
4291,Nine to Five (a.k.a. 9 to 5),Comedy|Crime,1980,10,86
4826,"Big Red One, The",Action|Adventure|Drama|War,1980,10,85
4833,"Changeling, The",Horror|Mystery|Thriller,1979,10,82
5186,Honeysuckle Rose (a.k.a. On the Road Again),Drama|Romance,1980,10,96
5250,Stir Crazy,Comedy,1980,10,54
610,Heavy Metal,Action|Adventure|Animation|Horror|Sci-Fi,1980,10,63
3731,Cutter's Way,Drama|Thriller,1981,10,97
3734,Prince of the City,Drama,1981,10,69
3971,"Private Eyes, The",Comedy|Mystery,1981,10,82
4417,"House by the Cemetery, The (Quella villa accanto al cimitero)",Horror,1981,10,100
5710,Banana Joe,Comedy,1980,10,92
5768,Modern Problems,Comedy|Fantasy,1981,10,99
5779,Piranha II: The Spawning,Horror|Sci-Fi,1980,10,73
2105,Tron,Action|Adventure|Sci-Fi,1982,10,92
2919,"Year of Living Dangerously, The",Drama|Romance|War,1982,10,62
5933,Cannery Row,Drama,1981,10,80
6140,Tenebre,Horror|Mystery|Thriller,1982,10,81
32840,Vincent,Animation,1981,10,59
81660,1990: The Bronx Warriors (1990: I guerrieri del Bronx),Action|Sci-Fi,1982,10,69
102252,Legendary Weapons of China,Action|Adventure,1981,10,96
1238,Local Hero,Comedy,1983,10,91
2111,"Man with Two Brains, The",Comedy,1983,10,84
2121,Cujo,Horror|Thriller,1983,10,60
2804,"Christmas Story, A",Children|Comedy,1983,10,87
2942,Flashdance,Drama|Romance,1982,10,84
3550,The Hunger,Horror,1982,10,90
5012,Yentl,Drama|Musical|Romance,1982,10,64
6638,Valley Girl,Comedy|Romance,1982,10,66
26467,"Day After, The",Drama|Sci-Fi,1982,10,89
26492,Twilight Zone: The Movie,Fantasy|Horror|Sci-Fi|Thriller,1982,10,61
33021,Dark Habits (Entre tinieblas),Comedy|Drama,1983,10,73
2003,Gremlins,Comedy|Horror,1984,10,52
2397,Mass Appeal,Drama,1984,10,64
2613,Night of the Comet,Comedy|Horror|Sci-Fi,1983,10,90
3041,Meatballs Part II,Comedy,1984,10,71
3098,"Natural, The",Drama,1984,10,93
3398,"Muppets Take Manhattan, The",Children|Comedy|Musical,1983,10,58
3441,Red Dawn,Action|Drama|War,1984,10,63
3683,Blood Simple,Crime|Drama|Film-Noir,1983,10,55
3766,Missing in Action,Action|War,1983,10,62
5276,Crimes of Passion,Drama|Romance|Thriller,1983,10,52
5344,Thief of Hearts,Drama|Thriller,1984,10,62
6814,City Heat,Action|Comedy,1984,10,74
7947,Under the Volcano,Drama,1983,10,51
26509,Electric Dreams,Comedy|Drama|Romance|Sci-Fi,1983,10,82
1674,Witness,Drama|Romance|Thriller,1985,10,83
2371,Fletch,Comedy|Crime|Mystery,1985,10,94
2401,Pale Rider,Western,1984,10,50
4293,Summer Rental,Comedy,1985,10,99
6731,Day of the Dead,Horror|Sci-Fi|Thriller,1985,10,66
7083,Sweet Dreams,Drama,1985,10,52
7307,Flesh & Blood,Action|Adventure|Drama|War,1984,10,60
7340,Just One of the Guys,Comedy,1985,10,60
7481,Enemy Mine,Adventure|Drama|Sci-Fi,1985,10,50
7615,Desert Hearts,Drama,1985,10,75
9004,D.A.R.Y.L.,Adventure|Children|Sci-Fi,1985,10,99
26547,Police Story (Ging chaat goo si),Action|Comedy|Crime|Thriller,1984,10,78
26562,White Nights,Drama,1984,10,81
26581,Sherman's March,Documentary,1985,10,55
58520,Mala Noche,Drama,1984,10,94
97817,Pumping Iron II: The Women,Documentary,1984,10,60
1349,Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice),Horror,1985,10,87
2345,Desert Bloom,Drama,1985,10,50
2348,Sid and Nancy,Drama,1986,10,69
2349,Mona Lisa,Comedy|Thriller,1986,10,67
2375,"Money Pit, The",Comedy,1986,10,96
2736,Brighton Beach Memoirs,Comedy,1986,10,66
3763,F/X,Action|Crime|Thriller,1986,10,62
4753,Vamp,Comedy|Horror,1985,10,82
6201,Lady Jane,Drama|Romance,1985,10,51
6308,Legal Eagles,Comedy|Crime|Romance,1986,10,72
6644,"Green Ray, The (Rayon vert, Le)",Drama|Romance,1985,10,98
1261,Evil Dead II (Dead by Dawn),Action|Comedy|Fantasy|Horror,1986,10,82
1970,"Nightmare on Elm Street 3: Dream Warriors, A",Horror|Thriller,1986,10,50
2752,Outrageous Fortune,Comedy|Mystery,1986,10,63
2755,Light of Day,Drama,1986,10,51
3329,The Year My Voice Broke,Drama|Romance,1987,10,74
3388,Harry and the Hendersons,Children|Comedy,1987,10,91
3394,Blind Date,Comedy|Romance,1987,10,83
3505,No Way Out,Drama|Mystery|Thriller,1987,10,71
3716,Fatal Beauty,Action|Comedy|Crime|Drama,1987,10,97
4104,Ernest Goes to Camp,Comedy,1987,10,96
4109,Flowers in the Attic,Drama|Thriller,1986,10,97
4132,Mannequin,Comedy|Romance,1986,10,85
4140,North Shore,Drama|Romance,1987,10,91
4215,Revenge of the Nerds II: Nerds in Paradise,Comedy,1986,10,58
4332,Suspect,Crime|Drama|Thriller,1986,10,59
709,Oliver & Company,Adventure|Animation|Children|Comedy|Musical,1987,10,91
1961,Rain Man,Drama,1987,10,68
1971,"Nightmare on Elm Street 4: The Dream Master, A",Horror|Thriller,1988,10,58
1985,Halloween 4: The Return of Michael Myers,Horror,1988,10,76
2245,Working Girl,Comedy|Drama|Romance,1987,10,50
2247,Married to the Mob,Comedy,1988,10,83
2408,Cocoon: The Return,Comedy|Sci-Fi,1988,10,82
2551,Dead Ringers,Drama|Horror|Thriller,1987,10,66
2868,Fright Night Part II,Horror,1987,10,86
3197,"Presidio, The",Action|Crime|Romance|Thriller,1987,10,58
3211,"Cry in the Dark, A",Drama,1988,10,68
3577,Two Moon Junction,Drama|Romance,1988,10,59
3868,"Naked Gun: From the Files of Police Squad!, The",Action|Comedy|Crime|Romance,1987,10,66
3918,Hellbound: Hellraiser II,Horror,1987,10,100
4012,Punchline,Comedy|Drama,1987,10,66
4479,Bird,Drama|Musical,1987,10,69
4490,"Couch Trip, The",Comedy,1988,10,57
4499,Dirty Rotten Scoundrels,Comedy,1987,10,70
4500,Drowning by Numbers,Comedy|Drama,1988,10,64
4516,Johnny Be Good,Comedy,1987,10,96
4518,The Lair of the White Worm,Comedy|Horror,1987,10,94
4537,Running on Empty,Drama,1988,10,97
4560,Watchers,Horror|Sci-Fi,1987,10,78
4563,Young Einstein,Comedy,1987,10,96
4703,Chocolat,Drama,1987,10,99
52831,Maniac Cop,Action|Crime|Horror|Thriller,1987,10,90
1989,Prom Night III: The Last Kiss,Horror,1989,10,55
2422,"Karate Kid, Part III, The",Action|Adventure|Children|Drama,1989,10,95
4618,Leviathan,Horror|Sci-Fi|Thriller,1988,10,71
4628,New York Stories,Comedy|Drama,1988,10,51
4632,"Package, The",Action|Thriller,1988,10,78
4663,She's Out of Control,Comedy,1988,10,93
4666,Skin Deep,Comedy,1988,10,72
4676,Troop Beverly Hills,Comedy,1989,10,87
26649,Lonesome Dove,Adventure|Drama|Western,1989,10,73
587,Ghost,Comedy|Drama|Fantasy|Romance|Thriller,1989,10,72
2291,Edward Scissorhands,Drama|Fantasy|Romance,1989,10,100
2699,Arachnophobia,Comedy|Horror,1989,10,50
3031,Repossessed,Comedy,1990,10,82
3219,Pacific Heights,Mystery|Thriller,1990,10,78
3438,Teenage Mutant Ninja Turtles,Action|Children|Comedy|Fantasy|Sci-Fi,1990,10,62
3765,"Hot Spot, The",Crime|Drama|Romance,1990,10,59
3841,Air America,Action|Comedy,1989,10,81
4216,Longtime Companion,Drama,1990,10,62
6180,Q & A,Crime|Drama,1989,10,60
6966,Darkman,Action|Crime|Fantasy|Sci-Fi|Thriller,1990,10,99
7004,Kindergarten Cop,Action|Comedy|Crime|Thriller,1990,10,50
7012,Mr. Destiny,Comedy|Fantasy,1990,10,97
8493,Memphis Belle,Action|Drama|War,1989,10,68
8689,"Shock to the System, A",Comedy|Crime|Thriller,1990,10,72
26704,State of Grace,Crime|Drama|Thriller,1990,10,52
31747,The Boyfriend School,Comedy|Romance,1989,10,54
88024,To Sleep with Anger,Drama,1990,10,69
1176,"Double Life of Veronique, The (Double Vie de Véronique, La)",Drama|Fantasy|Romance,1991,10,62
1280,Raise the Red Lantern (Da hong deng long gao gao gua),Drama,1990,10,96
2265,Nothing But Trouble,Adventure|Comedy,1990,10,84
2267,Mortal Thoughts,Mystery|Thriller,1991,10,60
5366,Whore,Drama,1991,10,67
6780,"Brief History of Time, A",Documentary,1990,10,74
6944,Father of the Bride,Comedy,1990,10,80
6971,Europa (Zentropa),Drama|Thriller,1990,10,91
121,"Boys of St. Vincent, The",Drama,1992,10,84
122,Boomerang,Comedy|Romance,1991,10,92
265,Like Water for Chocolate (Como agua para chocolate),Drama|Fantasy|Romance,1992,10,54
526,"Savage Nights (Nuits fauves, Les)",Drama,1992,10,56
1037,"Lawnmower Man, The",Action|Horror|Sci-Fi|Thriller,1992,10,100
1339,Dracula (Bram Stoker's Dracula),Fantasy|Horror|Romance|Thriller,1991,10,91
2817,Aces: Iron Eagle III,Action,1991,10,51
3259,Far and Away,Adventure|Drama|Romance,1992,10,76
3262,Twin Peaks: Fire Walk with Me,Crime|Drama|Mystery|Thriller,1992,10,95
8132,Gladiator,Action|Drama,1991,10,52
26788,"Story of Qiu Ju, The (Qiu Ju da guan si)",Comedy|Drama,1991,10,53
26819,Fortress,Action|Sci-Fi,1992,10,94
320,Suture,Film-Noir|Thriller,1993,10,79
410,Addams Family Values,Children|Comedy|Fantasy,1993,10,73
446,Farewell My Concubine (Ba wang bie ji),Drama|Romance,1993,10,97
489,Made in America,Comedy,1993,10,69
490,Malice,Thriller,1992,10,91
508,Philadelphia,Drama,1993,10,88
527,Schindler's List,Drama|War,1993,10,70
1437,"Cement Garden, The",Drama,1992,10,73
2071,And the Band Played On,Drama,1993,10,50
6794,Beethoven's 2nd,Children|Comedy,1993,10,69
7108,Crime Story (Zhong an zu),Action|Crime|Drama,1993,10,54
7117,Leprechaun,Comedy|Horror,1992,10,95
7782,Sniper,Action|Drama,1993,10,63
32153,Once Upon a Forest,Adventure|Animation|Children|Fantasy,1993,10,71
59447,Fiorile,Drama,1993,10,67
98,Shopping,Action|Thriller,1994,10,88
126,"NeverEnding Story III, The",Adventure|Children|Fantasy,1994,10,59
268,Little Odessa,Crime|Drama,1993,10,87
272,"Madness of King George, The",Comedy|Drama,1993,10,76
305,Ready to Wear (Pret-A-Porter),Comedy,1994,10,81
341,Double Happiness,Drama,1994,10,50
342,Muriel's Wedding,Comedy,1993,10,98
353,"Crow, The",Action|Crime|Fantasy|Thriller,1994,10,98
354,Cobb,Drama,1993,10,50
369,Mrs. Parker and the Vicious Circle,Drama,1994,10,56
372,Reality Bites,Comedy|Drama|Romance,1994,10,69
382,Wolf,Drama|Horror|Romance|Thriller,1994,10,88
416,Bad Girls,Western,1994,10,69
420,Beverly Hills Cop III,Action|Comedy|Crime|Thriller,1993,10,55
470,House Party 3,Comedy,1993,10,73
513,Radioland Murders,Comedy|Mystery|Romance,1994,10,82
536,"Simple Twist of Fate, A",Drama,1994,10,85
569,Little Big League,Comedy|Drama,1994,10,85
1369,I Can't Sleep (J'ai pas sommeil),Drama|Thriller,1993,10,92
5969,My Girl 2,Comedy|Drama|Romance,1994,10,92
26870,Major League II,Comedy,1994,10,78
68099,Apollo 13: To the Edge and Back,Documentary,1994,10,52
95780,Dragon Ball Z: Bio-Broly (Doragon bôru Z 11: Sûpâ senshi gekiha! Katsu no wa ore da),Action|Adventure|Animation,1994,10,77
99669,Aftermath,Horror,1994,10,82
126106,Beastie Boys: Sabotage,(no genres listed),1993,10,61
13,Balto,Adventure|Animation|Children,1995,10,67
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1994,10,91
23,Assassins,Action|Crime|Thriller,1995,10,77
27,Now and Then,Children|Drama,1994,10,83
35,Carrington,Drama|Romance,1994,10,65
43,Restoration,Drama,1994,10,50
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995,10,53
49,When Night Is Falling,Drama|Romance,1994,10,72
71,Fair Game,Action,1994,10,62
80,"White Balloon, The (Badkonake sefid)",Children|Drama,1995,10,75
116,Anne Frank Remembered,Documentary,1995,10,98
132,Jade,Thriller,1994,10,70
165,Die Hard: With a Vengeance,Action|Crime|Thriller,1994,10,100
173,Judge Dredd,Action|Crime|Sci-Fi,1995,10,100
185,"Net, The",Action|Crime|Thriller,1995,10,63
187,Party Girl,Comedy,1994,10,71
207,"Walk in the Clouds, A",Drama|Romance,1994,10,92
216,Billy Madison,Comedy,1995,10,85
217,"Babysitter, The",Drama|Thriller,1995,10,79
274,Man of the House,Comedy,1994,10,95
278,Miami Rhapsody,Comedy,1995,10,67
279,My Family,Drama,1994,10,68
325,National Lampoon's Senior Trip,Comedy,1995,10,90
585,"Brady Bunch Movie, The",Comedy,1994,10,94
617,"Flower of My Secret, The (La flor de mi secreto)",Comedy|Drama,1995,10,55
741,Ghost in the Shell (Kôkaku kidôtai),Animation|Sci-Fi,1994,10,85
754,Gold Diggers: The Secret of Bear Mountain,Adventure|Children,1995,10,95
764,Heavy,Drama|Romance,1994,10,87
767,"Grass Harp, The",Comedy|Drama,1994,10,99
864,"Wife, The",Comedy|Drama,1995,10,73
1428,Angel Baby,Drama,1995,10,69
44421,"Personal Journey with Martin Scorsese Through American Movies, A",Documentary,1995,10,57
51357,Citizen X,Crime|Drama|Thriller,1995,10,100
86,White Squall,Action|Adventure|Drama,1995,10,79
663,Kids in the Hall: Brain Candy,Comedy,1996,10,95
671,Mystery Science Theater 3000: The Movie,Comedy|Sci-Fi,1996,10,95
673,Space Jam,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,1996,10,59
685,It's My Party,Drama,1995,10,85
704,"Quest, The",Action|Adventure,1996,10,80
720,Wallace & Gromit: The Best of Aardman Animation,Adventure|Animation|Comedy,1995,10,100
743,Spy Hard,Comedy,1995,10,91
765,Jack,Comedy|Drama,1996,10,70
766,I Shot Andy Warhol,Drama,1995,10,84
781,Stealing Beauty,Drama,1995,10,65
800,Lone Star,Drama|Mystery|Western,1996,10,91
809,Fled,Action|Adventure,1996,10,72
813,Larger Than Life,Comedy,1996,10,56
832,Ransom,Crime|Thriller,1996,10,58
996,Last Man Standing,Action|Crime|Drama|Thriller,1995,10,61
1034,Freeway,Comedy|Crime|Drama|Thriller,1996,10,51
1105,Children of the Corn IV: The Gathering,Horror,1996,10,57
1317,I'm Not Rappaport,Comedy,1995,10,86
1351,Blood and Wine (Blood & Wine),Crime|Drama|Thriller,1996,10,93
1354,Breaking the Waves,Drama|Mystery,1996,10,70
1357,Shine,Drama|Romance,1995,10,66
1417,"Portrait of a Lady, The",Drama,1995,10,86
1449,Waiting for Guffman,Comedy,1995,10,78
1455,Hotel de Love,Comedy|Romance,1996,10,62
1537,Shall We Dance? (Shall We Dansu?),Comedy|Drama|Romance,1995,10,85
3282,Different for Girls,Comedy,1996,10,72
136445,George Carlin: Back in Town,Comedy,1995,10,85
141886,The Dress,Comedy|Drama,1996,10,98
981,Dangerous Ground,Drama,1997,10,76
1442,Prefontaine,Drama,1996,10,71
1466,Donnie Brasco,Crime|Drama,1997,10,54
1476,Private Parts,Comedy|Drama,1996,10,59
1500,Grosse Pointe Blank,Comedy|Crime|Romance,1996,10,82
1556,Speed 2: Cruise Control,Action|Romance|Thriller,1996,10,71
1584,Contact,Drama|Sci-Fi,1997,10,52
1621,Soul Food,Drama,1997,10,57
1625,"Game, The",Drama|Mystery|Thriller,1997,10,70
1640,How to Be a Player,Comedy,1997,10,94
1644,I Know What You Did Last Summer,Horror|Mystery|Thriller,1996,10,51
1648,"House of Yes, The",Comedy|Drama,1997,10,65
1668,One Night Stand,Drama,1997,10,78
1670,Welcome to Sarajevo,Drama|War,1997,10,90
1672,"Rainmaker, The",Drama,1997,10,94
1676,Starship Troopers,Action|Sci-Fi,1996,10,88
1687,"Jackal, The",Action|Thriller,1996,10,63
1717,Scream 2,Comedy|Horror|Mystery|Thriller,1997,10,90
1846,Nil By Mouth,Drama,1996,10,62
1848,"Borrowers, The",Adventure|Children|Comedy|Fantasy,1996,10,86
1859,Taste of Cherry (Ta'm e guilass),Drama,1997,10,83
1865,Wild Man Blues,Documentary,1997,10,78
1900,"Children of Heaven, The (Bacheha-Ye Aseman)",Comedy|Drama,1996,10,55
2008,"This World, Then the Fireworks",Crime|Drama|Film-Noir,1997,10,92
2594,Open Your Eyes (Abre los ojos),Drama|Romance|Sci-Fi|Thriller,1997,10,78
2693,Trekkies,Documentary,1997,10,58
